optimizer,lr,weight_decay,batch_size,epochs,final_train_loss,final_val_loss
adamw,0.0001,0.01,16,5,14.592328938193944,14.56288271683913
adamw,0.0001,0.01,32,5,18.0002604443094,18.055598479050857
adamw,0.0001,0.01,64,5,23.848923766822146,23.845985685076034
adamw,0.0001,0.1,16,5,15.178093197034753,15.15002731176523
adamw,0.0001,0.1,32,5,18.663253187096636,18.639885388887844
adamw,0.0001,0.1,64,5,24.03514708134166,24.012963431222097
adamw,0.0003,0.0,16,5,9.780813246187956,9.79030649478619
adamw,0.0003,0.0,32,5,12.8640671522721,12.850104405329777
adamw,0.0003,0.0,64,5,16.925963585836847,16.949835913521902
adamw,0.0003,0.0001,16,5,9.753543202773384,9.80256986618042
adamw,0.0003,0.0001,32,5,12.855950471629267,12.838677406311035
adamw,0.0003,0.0001,64,5,16.69574198806495,16.683198383876256
adamw,0.0003,0.001,16,5,9.66630341488382,9.664081463446983
adamw,0.0003,0.001,32,5,12.91289587435515,12.94138820354755
adamw,0.0003,0.001,64,5,16.653976741589997,16.6567257472447
adamw,0.0003,0.01,16,5,9.769217760666557,9.803370989285982
adamw,0.0003,0.01,32,5,12.44971631920856,12.4697904586792
adamw,0.0003,0.01,64,5,16.81564213936789,16.766571044921875
adamw,0.0003,0.1,16,5,9.624400147147801,9.623066755441519
adamw,0.0003,0.1,32,5,12.596699250262716,12.61529673062838
adamw,0.0003,0.1,64,5,16.565604661640368,16.6639529636928
adamw,0.001,0.0,16,5,8.349910201197085,8.370594354776236
adamw,0.001,0.0,32,5,8.611731313622515,8.625915380624624
adamw,0.001,0.0,64,5,10.068195460135478,10.071893964494977
adamw,0.001,0.0001,16,5,8.342750308824622,8.367168976710392
adamw,0.001,0.0001,32,5,8.585351603964101,8.616766489469088
adamw,0.001,0.0001,64,5,9.985898971557617,9.981145450047084
adamw,0.001,0.001,16,5,8.342566913107166,8.365806616269625
adamw,0.001,0.001,32,5,8.561152798196543,8.589307931753305
