dataset,optimizer,n_layers,lr,weight_decay,batch_size,epochs,seq_len,max_vocab_size,final_train_loss,final_val_loss
wikitext2,adamw,4,1e-05,0.0,16,10,128,4096,9.868390005189818,9.757492092677525
wikitext2,adamw,4,1e-05,0.0,32,10,128,4096,11.666666025161744,11.527767361335034
wikitext2,adamw,4,1e-05,0.0,64,10,128,4096,13.835519256591796,13.657201060542354
wikitext2,adamw,4,1e-05,0.0001,16,10,128,4096,10.232195293033993,10.084874661763509
wikitext2,adamw,4,1e-05,0.0001,32,10,128,4096,11.912385995864868,11.727766180938145
wikitext2,adamw,4,1e-05,0.0001,64,10,128,4096,14.726752056121827,14.553919544926396
wikitext2,adamw,4,1e-05,0.001,16,10,128,4096,10.06918070675967,9.928955877394904
wikitext2,adamw,4,1e-05,0.001,32,10,128,4096,11.909282649993896,11.800417090361973
wikitext2,adamw,4,1e-05,0.001,64,10,128,4096,14.301562210083008,14.137642118665907
wikitext2,adamw,4,1e-05,0.01,16,10,128,4096,10.027252177258472,9.872452118283226
wikitext2,adamw,4,1e-05,0.01,32,10,128,4096,11.737213077545166,11.597062542753399
wikitext2,adamw,4,1e-05,0.01,64,10,128,4096,14.197206214904785,14.06389621452049
wikitext2,adamw,4,1e-05,0.1,16,10,128,4096,9.169709897303319,9.003292083740234
wikitext2,adamw,4,1e-05,0.1,32,10,128,4096,11.532553354263305,11.36257668261258
wikitext2,adamw,4,1e-05,0.1,64,10,128,4096,13.953072582244873,13.847092098659939
wikitext2,adamw,4,3e-05,0.0,16,10,128,4096,6.47364861291129,6.35440886815389
wikitext2,adamw,4,3e-05,0.0,32,10,128,4096,8.167677262306213,8.02379304058147
wikitext2,adamw,4,3e-05,0.0,64,10,128,4096,9.693626850128174,9.545618092572248
wikitext2,adamw,4,3e-05,0.0001,16,10,128,4096,6.420047695224697,6.310402547745477
wikitext2,adamw,4,3e-05,0.0001,32,10,128,4096,8.027935190200806,7.912623918281411
wikitext2,adamw,4,3e-05,0.0001,64,10,128,4096,10.436600242614746,10.285097086871112
wikitext2,adamw,4,3e-05,0.001,16,10,128,4096,6.492276685697573,6.375273295811245
wikitext2,adamw,4,3e-05,0.001,32,10,128,4096,8.26546309375763,8.167725176181433
wikitext2,adamw,4,3e-05,0.001,64,10,128,4096,10.190570434570313,10.086898591783312
wikitext2,adamw,4,3e-05,0.01,16,10,128,4096,6.435520802820837,6.349307900383359
wikitext2,adamw,4,3e-05,0.01,32,10,128,4096,8.13836695098877,7.985345588540131
wikitext2,adamw,4,3e-05,0.01,64,10,128,4096,10.665660236358642,10.60618605437102
wikitext2,adamw,4,3e-05,0.1,16,10,128,4096,6.361444690487125,6.274355120885939
wikitext2,adamw,4,3e-05,0.1,32,10,128,4096,7.854703883171082,7.6846746588652985
wikitext2,adamw,4,3e-05,0.1,64,10,128,4096,9.616948554992677,9.485166761610243
wikitext2,adamw,4,0.0001,0.0,16,10,128,4096,5.300151027523197,5.2386656125386555
wikitext2,adamw,4,0.0001,0.0,32,10,128,4096,5.576167063713074,5.519377636459638
wikitext2,adamw,4,0.0001,0.0,64,10,128,4096,6.3655897312164305,6.288185755411784
wikitext2,adamw,4,0.0001,0.0001,16,10,128,4096,5.296952225707032,5.228585688273112
wikitext2,adamw,4,0.0001,0.0001,32,10,128,4096,5.562718947410583,5.503552607770236
wikitext2,adamw,4,0.0001,0.0001,64,10,128,4096,6.454139654159546,6.381663552036992
wikitext2,adamw,4,0.0001,0.001,16,10,128,4096,5.292852058277264,5.226101920718238
wikitext2,adamw,4,0.0001,0.001,32,10,128,4096,5.552289370536804,5.482968870198952
wikitext2,adamw,4,0.0001,0.001,64,10,128,4096,6.357737762451172,6.29652773892438
wikitext2,adamw,4,0.0001,0.01,16,10,128,4096,5.3003840613198445,5.234009438469297
wikitext2,adamw,4,0.0001,0.01,32,10,128,4096,5.539456055641175,5.466101268552384
